match_key,winner_sex_from_cand,candidate_reservation_raw,candidate_reservation_unique,candidate_reserved,candidate_caste,reservation_gender_conflict,reservation_caste_conflict
jodhpur_dechu_masjid ki dhani,1,OBC (Woman),TRUE,1,OBC,TRUE,TRUE
jodhpur_dechu_riddmalnagar,1,General (Woman),TRUE,1,GEN,TRUE,FALSE
jodhpur_osian_bursalu kala,1,ST (Woman),TRUE,1,ST,TRUE,FALSE
jodhpur_ghantiyali_jaisla,1,General (Woman),TRUE,1,GEN,FALSE,TRUE
jodhpur_dhawa_subdand,0,General,TRUE,0,GEN,TRUE,FALSE
jodhpur_bapini_motaniya nagar,1,OBC (Woman),TRUE,1,OBC,FALSE,TRUE
jodhpur_bap_bhadla,1,General (Woman),TRUE,1,GEN,FALSE,TRUE
jodhpur_bap_bhakhriya,1,SC (Woman),TRUE,1,SC,TRUE,FALSE
jodhpur_bawadi_lavera khurd,1,SC,TRUE,0,SC,TRUE,FALSE
dausa_lalsot_talavgaon,1,ST (Woman),TRUE,1,ST,TRUE,FALSE
dausa_dausa_bane ka barkheda,1,General (Woman),TRUE,1,GEN,TRUE,TRUE
dausa_dausa_bhandarej,0,General,TRUE,0,GEN,FALSE,TRUE
dausa_dausa_bishanpura,0,General,TRUE,0,GEN,FALSE,TRUE
dausa_dausa_boroda,1,SC (Woman),TRUE,1,SC,TRUE,FALSE
dausa_dausa_chawandeda,1,General (Woman),TRUE,1,GEN,TRUE,TRUE
dausa_dausa_chordi,1,General (Woman),TRUE,1,GEN,TRUE,TRUE
dausa_dausa_ganeshpura,0,General,TRUE,0,GEN,FALSE,TRUE
dausa_dausa_jasota,1,General,TRUE,0,GEN,FALSE,TRUE
dausa_dausa_jopada,1,General (Woman),TRUE,1,GEN,TRUE,FALSE
dausa_dausa_kabaleshwer,1,General (Woman),TRUE,1,GEN,TRUE,TRUE
dausa_dausa_nangal chapa,0,General,TRUE,0,GEN,FALSE,TRUE
dausa_dausa_nimali,1,SC (Woman),TRUE,1,SC,TRUE,FALSE
dausa_dausa_ralavata,1,OBC (Woman),TRUE,1,OBC,TRUE,FALSE
dausa_dausa_surajpura,1,General (Woman),TRUE,1,GEN,TRUE,TRUE
barmer_sedwa_bhanwar,1,ST (Woman),TRUE,1,ST,TRUE,FALSE
barmer_sedwa_sinhar,1,SC (Woman),TRUE,1,SC,FALSE,TRUE
barmer_siwana_bhagwa raghunathgarh,1,SC (Woman),TRUE,1,SC,TRUE,FALSE
barmer_siwana_khankhi,1,ST (Woman),TRUE,1,ST,TRUE,FALSE
dausa_mahwa_gajipur,0,ST,TRUE,0,ST,FALSE,TRUE
dausa_mahwa_kesra,1,ST,TRUE,0,ST,TRUE,FALSE
dausa_mahwa_oundh meena,1,OBC,TRUE,0,OBC,TRUE,FALSE
dausa_mahwa_peepalkheda,1,General,TRUE,0,GEN,TRUE,FALSE
dausa_mahwa_sayapur pakhar,1,ST,TRUE,0,ST,TRUE,FALSE
dausa_mahwa_teekari kilanot,1,General,TRUE,0,GEN,TRUE,FALSE
dausa_lawan_dhigariya,0,General,TRUE,0,GEN,FALSE,TRUE
dausa_lawan_lawan,1,SC (Woman),TRUE,1,SC,TRUE,FALSE
dausa_baijupada_alipur,1,ST (Woman),TRUE,1,ST,TRUE,FALSE
dausa_baijupada_badial kalan,1,General (Woman),TRUE,1,GEN,TRUE,TRUE
dausa_baijupada_baijupada,1,ST (Woman),TRUE,1,ST,TRUE,FALSE
dausa_baijupada_balaheda,1,SC (Woman),TRUE,1,SC,TRUE,FALSE
dausa_baijupada_bivai,0,General,TRUE,0,GEN,FALSE,TRUE
dausa_baijupada_dhigariya bheem,1,General (Woman),TRUE,1,GEN,TRUE,TRUE
dausa_baijupada_golada,1,General (Woman),TRUE,1,GEN,TRUE,TRUE
dausa_baijupada_khedi,1,SC (Woman),TRUE,1,SC,TRUE,FALSE
dausa_baijupada_nangal jharamwada,1,General (Woman),TRUE,1,GEN,TRUE,TRUE
dausa_baijupada_nihalpura,1,General (Woman),TRUE,1,GEN,TRUE,TRUE
dausa_baijupada_pundarpada,0,General,TRUE,0,GEN,FALSE,TRUE
barmer_chohtan_goliyar,1,SC (Woman),TRUE,1,SC,FALSE,TRUE
bikaner_bikaner_jaalwali,1,General (Woman),TRUE,1,GEN,TRUE,TRUE
bikaner_bikaner_kilchu devdan,1,OBC (Woman),TRUE,1,OBC,TRUE,FALSE
churu_rajgarh_jaswantpura,1,SC (Woman),TRUE,1,SC,TRUE,FALSE
churu_rajgarh_nashal,1,OBC (Woman),TRUE,1,OBC,TRUE,FALSE
churu_rajgarh_thimaun chothi,1,General (Woman),TRUE,1,GEN,FALSE,TRUE
ajmer_sawar_jadana,0,SC,TRUE,0,SC,FALSE,TRUE
ajmer_sawar_bajata,1,SC (Woman),TRUE,1,SC,FALSE,TRUE
ajmer_sawar_para,0,SC,TRUE,0,SC,FALSE,TRUE
ajmer_sawar_sadara,0,General,TRUE,0,GEN,TRUE,TRUE
alwar_bansur_ratanpura urf karana,0,General,TRUE,0,GEN,TRUE,FALSE
alwar_thanagazi_ajabpura,1,General (Woman),TRUE,1,GEN,TRUE,FALSE
alwar_thanagazi_chandpuri,1,General (Woman),TRUE,1,GEN,TRUE,FALSE
alwar_thanagazi_duharchougan,1,SC (Woman),TRUE,1,SC,TRUE,FALSE
