district,block,elex_gp,lgd_gp,lgd_gp_code,match_distance,tie_count,match_quality
Ghazipur,Manihari,Adila,Arilla,64279,0.17777777777777778,2,strict
Ghazipur,Jamaniya,Chakmedni No .,Chak Medni No.1,270589,0.1391941391941392,2,strict
Ghazipur,Saidpur,Jabranpur,Gadanpur,64638,0.19444444444444453,2,strict
Ghazipur,Sadaat,Ibrapur,Mirzapur,64589,0.130952380952381,2,strict
Ghazipur,Barachwar,Karakpur,Hardaspur,64719,0.19444444444444453,2,strict
Chandauli,Niyamatabad,Gauri,Gaury,58019,0.13333333333333336,2,strict
Varanasi,Sewapuri,Isarwar,Esarvar,93581,0.19047619047619044,2,strict
Varanasi,Chiraigaon,Parnapur,Paranapur,93187,0.07870370370370378,2,strict
Varanasi,Chiraigaon,Chhitouna,Chhitauna,93150,0.13657407407407415,2,strict
Varanasi,Araji Lines,Gajaapur,Gazapur,92990,0.130952380952381,2,strict
Varanasi,Badagaon,Barji,Barai,93068,0.13333333333333336,2,strict
Jaunpur,Rampur,Nonra,Nonara,70246,0.12222222222222213,2,strict
Jaunpur,Dobhi,Ailiyan,Ailia,69422,0.09523809523809525,2,strict
Jaunpur,Sikarara,Firojpur Dwitiya,Firojpur 1.,70388,0.17916666666666675,2,strict
Jaunpur,Madiyahu,Rajapur No.,Rajapur No. 1,69978,0.05555555555555556,2,strict
Jaunpur,Sujangang,Vara,Bara,70571,0.1666666666666667,2,strict
Jaunpur,Kerakat,Bansbari,Bantari,69628,0.130952380952381,2,strict
Jaunpur,Srikoni,Sadipur,Sadeepur,70482,0.130952380952381,2,strict
Jaunpur,Khutahan,Mirapur,Meerapur,69733,0.130952380952381,2,strict
Jaunpur,Karanja Kala,Darbanipur,Dalhanpur,69555,0.1740740740740741,2,strict
Sant Ravidas Nagar,Aurain,Bhaktapur,Bharatpur,86344,0.11574074074074082,2,strict
Sant Ravidas Nagar,Aurain,Tulapur,Ugapur,86432,0.1507936507936509,2,strict
Sant Ravidas Nagar,Deegh,Bhawapur,Baraipur,86552,0.1666666666666667,2,strict
Mirzapur,Seeti,Chandaipur,Hasipur,80072,0.18095238095238095,2,strict
