sl_no,dist_name,samiti_name,gp,reservation,name,sex_manual,category,gp_new,dist_name_new,samiti_name_new
1944,BHARA TPUR,KAMAN,SAHOEDA,General,DHARMVEER,M,General,sahoeda,BHARATPUR,KAMAN
1912,BHARA TPUR,DEEG,P ANHORI,General,DHARMVEER,M,OBC,panhori,BHARATPUR,DEEG
267,AJMER,SARW AD,KEBANIYA,General,DHARMVEER,M,ST,kebaniya,AJMER,SARW AD
6283,JHUNJHUNU,NAWALGARH,KARI,General,DHARMVEER SINGH,M,OBC,kari,JHUNJHUNU,NAWALGARH
4718,ANUMANGAR,H HANUMANGARH,SHRINAGAR,OBC,DHEER SINGH,M,OBC,shrinagar,HANUMANGARH,HANUMANGARH
491,ALWAR,MUNDAWAR,BAVDA,General (Woman),DHEER SINGH,F,OBC (Woman),bavda,ALWAR,MANDAWAR
2846,BIKANER,NOKHA,LALASAR,SC,DHEERA RAM,M,SC,lalasar,BIKANER,NOKHA
8358,RAJSAMAND,RAILMAGRA,SINDESARKALA,General (Woman),DHEERAJ KUNWAR,F,General (Woman),sindesarkala,RAJSAMAND,RAILMAGRA
2369,BHILWARA,KOTRI,REDW AS,General,DHEERAJ SINGH RAJPUT,M,General,redwas,BHILWARA,KOTRI
6028,JHALAWAR,BHAVANI MANDI,PAGARIYA,General,DHEERAP SINGH,M,OBC,pagariya,JHALAWAR,BHAVANI MANDI
8582,S. MADHOPUR,CHOUTH KA BARWADA,SARSOAP,ST,DHESHARAJ MEENA,M,ST,sarsoap,SAWAIMADHOPUR,CHOUTH KA BARWADA
3901,DHOLPUR,BASERI,MEMODHAN,OBC,DHIRENDRA PARMAR,M,OBC,memodhan,DHOLPUR,BASERI
6768,JODHPUR,BAPINI,P ADASALA,General,DHOKAL RAM,M,OBC,p adasala,JODHPUR,BAPINI
5163,JAIPUR,KOTPUTLI,CHA TURBHUJ,General (Woman),DHOLI,F,OBC (Woman),cha turbhuj,JAIPUR,KOTPUTLI
8913,SIKAR,PATAN,DUNGA KI NAGAL,General (Woman),DHOLI DEVI,F,OBC (Woman),dunga ki nagal,SIKAR,PATAN
4904,JAIPUR,AMER,LAKHER,ST (Woman),DHOLI DEVI,F,ST (Woman),lakher,JAIPUR,AMBER
5230,JAIPUR,SAHAPURA,DEVIPURA,General (Woman),DHOLI DEVI GURJAR,F,OBC (Woman),devipura,JAIPUR,SAHAPURA
8550,S. MADHOPUR,S.MADHOPUR,LORWARA,General (Woman),DHOLI MEENA,F,ST (Woman),lorwara,SAWAIMADHOPUR,SAWAI MADHOPUR
6631,JODHPUR,PHALODI,BHOJASAR,General,DHONKAL RAM,M,OBC,bhojasar,JODHPUR,PHALODI
8733,SIKAR,KHANDELA,MALIKPUR,OBC,DHOOR SINGH,M,OBC,malikpur,SIKAR,KHANDELA
5445,JAISALMER,JAISALMER,MOHANGARH,General,DHOSHE KHAN URF DOST ALI,M,OBC,mohangarh,JAISALMER,JAISALMER
5468,JAISALMER,SAM,CHELAK,General (Woman),DHRAM KANWAR,F,General (Woman),chelak,JAISALMER,SAM
1698,BARMER,DHANAU,BURHAN KA TALA,ST (Woman),DHRMI DEVI,F,ST (Woman),burhan ka tala,BARMER,DHANAU
5648,JALORE,CHITALWANA,IT ADA,SC,DHUDHA RAM,M,SC,it ada,JALORE,CHITALWANA
9680,UDAIPUR,SARADA,BHALRIYA,ST,DHUL CHAND MEENA,M,ST,bhalriya,UDAIPUR,SARADA
